43
10	15	18	13	12	20	12	10	10	8	11	12	11	10	9	9	19	5	8	6	10	9	15	11	14	15	7	12	0	9	11	7	12	8	16	9	8	13	10	9	9	6	8
3	4	2	3	5	4	3	2	12	11	8	3	4	3	10	9	5	11	11	9	6	4	4	3	2	7	13	7	5	0	4	7	4	4	2	3	2	2	11	3	5	7	7
9	9	8	9	9	8	9	10	6	6	9	9	8	7	7	7	10	5	7	5	9	9	9	9	7	11	8	10	8	4	0	6	6	5	7	5	9	7	6	8	9	3	6
11	5	5	5	17	5	6	6	5	10	7	5	13	4	9	8	6	10	4	6	8	6	3	5	4	5	7	8	5	7	4	0	10	4	5	4	6	4	5	5	7	3	9
13	12	12	14	16	12	12	12	9	10	12	11	17	11	10	6	18	10	7	7	10	11	16	10	11	16	6	12	12	8	12	8	0	8	10	10	11	11	10	11	11	4	5
9	11	11	9	8	11	9	10	9	7	12	9	8	7	8	7	12	5	7	5	13	10	10	9	9	15	8	10	12	5	15	6	8	0	9	5	9	10	6	10	9	3	6
9	12	15	11	7	12	11	9	7	6	9	11	7	8	7	7	13	5	6	5	8	8	14	10	14	11	6	11	14	7	9	5	10	7	0	7	7	12	8	8	8	5	6
14	9	6	6	9	7	6	11	9	5	12	6	6	12	6	5	9	3	2	5	11	16	7	6	5	9	7	17	8	4	10	6	5	9	5	0	10	6	3	9	10	3	5
11	7	7	6	10	8	6	14	9	8	12	6	6	8	7	8	9	6	5	7	10	17	7	6	6	10	9	15	8	6	9	8	6	9	7	7	0	6	5	16	15	4	7
9	10	13	13	7	8	13	9	6	6	9	13	8	7	8	6	13	4	6	5	9	8	12	12	13	13	5	8	8	6	9	5	10	7	8	6	7	0	9	8	8	4	5
7	5	2	4	8	4	4	8	14	14	10	4	8	7	14	12	8	10	10	13	7	9	7	4	2	8	14	8	4	13	4	10	2	5	2	6	6	2	0	7	13	8	8
11	10	10	8	11	11	8	11	11	9	15	8	10	8	10	8	12	6	7	7	13	15	9	8	8	13	10	14	12	8	12	8	9	11	8	8	10	9	8	0	15	4	7
11	12	9	8	13	10	8	12	10	9	18	8	9	9	9	8	11	7	7	7	12	18	8	8	7	12	10	16	11	8	11	8	9	10	8	8	10	9	12	16	0	3	6
4	2	1	2	3	3	2	4	10	8	7	2	2	5	7	7	4	5	6	7	4	6	3	2	1	6	13	7	4	9	4	5	2	4	1	4	4	1	5	5	6	0	6
5	6	4	4	5	5	4	5	8	10	6	4	4	3	8	10	7	6	6	8	6	5	5	4	4	4	7	6	5	6	5	5	3	5	4	3	4	4	6	4	5	4	0
